🔆测试预留,#genre#
测试频道1,http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=testch1
测试频道2,http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=testch2
测试频道3,http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=testch3
测试频道4,http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=testch4
测试频道5,http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=testch5
🔆IPV4,#genre#
CCTV-1综合(IPV4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv01zh
CCTV-2经济(IPV4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv02jj
CCTV-3综艺(IPV4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv03zy
CCTV-4国际(IPV4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv04zw
CCTV-5体育(IPV4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv05ty
🔆移动V4,#genre#
CCTV-13新闻(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv13xw
CCTV-14少儿(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv14se
CCTV-15音乐(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv15yy
CCTV-16奥运(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv16ay
CCTV-17农业(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=cctv17ny
CHC-高清电影(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=chcgqdy
CHC-动作电影(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=chcdzdy
CHC-家庭影院(移动V4),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=chcjtyy
🔆IPV6,#genre#
北京卫视(IPV6),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=wsbeijing
安徽卫视(IPV6),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=wsanhui
广东卫视(IPV6),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=wsguangdong
深圳卫视(IPV6),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=wsshenzhen
辽宁卫视(IPV6),http://129.226.149.79:4785/html/V4free.php?access_token=test1208faku&id=wsliaoning
